mpaSize,attr,biomass,catch
0.05,1,26120.483798479156,2965.347914342524
0.1,1,26036.77752254741,2956.9194517438395
0.15000000000000002,1,25717.031286394504,2931.651731199577
0.2,1,26076.462210388723,2931.26198248891
0.25,1,27264.548301455612,2953.988758916523
0.3,1,29257.068559999927,2972.827154395912
0.35000000000000003,1,31785.646482843993,2975.6102130534923
0.4,1,33924.44473969218,2953.5047955625114
0.05,3,29201.097758014563,3075.1594315215743
0.1,3,29328.26013001406,3037.6239823078813
0.15000000000000002,3,30249.868306165565,3015.6182569582343
0.2,3,31221.896206275578,2993.5739346706573
0.25,3,33038.217108437224,2979.580246895733
0.3,3,36788.55084250245,2932.7118703102237
0.35000000000000003,3,39275.42307360014,2877.2027394155884
0.4,3,42412.69399193024,2816.552362177
0.05,9,30889.887645366784,3098.541314747838
0.1,9,33112.913640838924,3071.764522145261
0.15000000000000002,9,35319.939998277034,3017.68012694761
0.2,9,37545.63302697344,2950.3156418059025
0.25,9,39856.60218802345,2872.839758506552
0.3,9,42264.18072330208,2786.673516569685
0.35000000000000003,9,44743.88808213763,2694.550752137911
0.4,9,47274.72893601346,2599.4912304924055
0.05,15,32535.131302245572,3083.9255769157758
0.1,15,35572.78538393732,3002.558761487177
0.15000000000000002,15,37573.27807801515,2936.644794580053
0.2,15,39815.17838362164,2854.2855993982503
0.25,15,42317.714747729726,2753.9659424337992
0.3,15,44878.01443925012,2648.357818050574
0.35000000000000003,15,47486.652409882874,2539.8424309525026
0.4,15,50146.391798051176,2430.089106802767
