year,run,farmDesign,biomass,catch,bmNull,ctchNull,bmDiff,ctchDiff
5,9,large,66250.41243039715,7428.245868518216,66251.00412088103,7428.312211084704,-0.5916904838813934,-0.0663425664879469
5,9,small,66250.41243039715,7428.245868518216,66251.00412088103,7428.312211084704,-0.5916904838813934,-0.0663425664879469
5,15,large,66250.41243039715,7428.245868518216,66251.00412088103,7428.312211084704,-0.5916904838813934,-0.0663425664879469
5,15,small,66250.41243039715,7428.245868518216,66251.00412088103,7428.312211084704,-0.5916904838813934,-0.0663425664879469
6,1,large,59276.9577681728,6646.355856310527,59519.06288763529,6673.501594539416,-242.10511946249608,-27.14573822888906
6,1,small,59276.9577681728,6646.355856310527,59519.06288763529,6673.501594539416,-242.10511946249608,-27.14573822888906
6,3,large,59276.9577681728,6646.355856310527,59519.06288763529,6673.501594539416,-242.10511946249608,-27.14573822888906
6,3,small,59276.9577681728,6646.355856310527,59519.06288763529,6673.501594539416,-242.10511946249608,-27.14573822888906
6,9,large,59276.9577681728,6646.355856310527,59519.06288763529,6673.501594539416,-242.10511946249608,-27.14573822888906
6,9,small,59276.9577681728,6646.355856310527,59519.06288763529,6673.501594539416,-242.10511946249608,-27.14573822888906
6,15,large,59276.9577681728,6646.355856310527,59519.06288763529,6673.501594539416,-242.10511946249608,-27.14573822888906
6,15,small,59276.9577681728,6646.355856310527,59519.06288763529,6673.501594539416,-242.10511946249608,-27.14573822888906
7,1,large,52740.99293590903,5913.51885226845,53987.39611850196,6053.270273458875,-1246.403182592927,-139.75142119042448
7,1,small,52740.99293590903,5913.51885226845,53987.39611850196,6053.270273458875,-1246.403182592927,-139.75142119042448
7,3,large,52740.99293590903,5913.51885226845,53987.39611850196,6053.270273458875,-1246.403182592927,-139.75142119042448
7,3,small,52740.99293590903,5913.51885226845,53987.39611850196,6053.270273458875,-1246.403182592927,-139.75142119042448
7,9,large,52740.99293590903,5913.51885226845,53987.39611850196,6053.270273458875,-1246.403182592927,-139.75142119042448
7,9,small,52740.99293590903,5913.51885226845,53987.39611850196,6053.270273458875,-1246.403182592927,-139.75142119042448
