mpaSize,attr,biomass,catch
0.05,1,93829.01019171273,116.54321584729495
0.1,1,94035.06001248528,121.69830520030419
0.15000000000000002,1,95080.38509814418,124.00425630036213
0.2,1,96652.73799833504,124.02443889914662
0.05,3,94524.47432978306,114.89986076810813
0.1,3,95207.52968678693,118.85307115138878
0.15000000000000002,3,96629.9291617839,119.42741980171623
0.2,3,98276.07353073684,118.52533157223475
0.05,9,99062.81854798851,97.4525388219505
0.1,9,102301.11778891388,86.13391012002293
0.15000000000000002,9,103967.85644357609,79.95231305442421
0.2,9,105079.64754042024,75.88832208952158
0.05,15,100531.43665861468,91.21515440492247
0.1,15,103635.60684597715,78.35244730520394
0.15000000000000002,15,104988.66286243923,72.53645886666318
0.2,15,105887.83725446113,68.76551504156942
0.25,1,98345.66995002981,123.05246549220986
0.3,1,99822.61132275297,122.49369608245382
0.35,1,100848.95308771495,123.73777570967212
0.4,1,102072.71930743312,123.64115412550338
0.25,3,99961.10132826364,116.89350858400489
0.3,3,101405.77213238779,116.2442449200288
0.35,3,102462.75962119983,117.00663566048667
0.4,3,103640.39134083182,117.80997994313918
0.25,9,105970.7049755137,72.73293055959849
0.3,9,106271.24720433382,82.58548992843531
0.35,9,106943.17183134874,82.19637679699632
0.4,9,107607.93087954736,81.71472834136725
0.25,15,106641.28444419864,65.73819418339454
0.3,15,107348.63294868049,63.03165696350246
0.35,15,108041.39722338755,60.52187286684832
0.4,15,108725.83802617554,58.15306640465297
