mpaSize,attr,biomass,catch
0.05,1,93829.01019171273,116.54321584729495
0.1,1,94035.06001248528,121.69830520030419
0.15000000000000002,1,95080.38509814418,124.00425630036213
0.2,1,96652.73799833504,124.02443889914662
0.05,3,94524.47432978306,114.89986076810813
0.1,3,95207.52968678693,118.85307115138878
0.15000000000000002,3,96629.9291617839,119.42741980171623
0.2,3,98276.07353073684,118.52533157223475
0.05,9,99062.81854798851,97.4525388219505
0.1,9,102301.11778891388,86.13391012002293
0.15000000000000002,9,103967.85644357609,79.95231305442421
0.2,9,105079.64754042024,75.88832208952158
0.05,15,100531.43665861468,91.21515440492247
0.1,15,103635.60684597715,78.35244730520394
0.15000000000000002,15,104988.66286243923,72.53645886666318
0.2,15,105887.83725446113,68.76551504156942
