mpaSize,attr,biomass,catch
0.05,1,26036.00186620849,2963.8724757318546
0.1,1,25797.609244319065,2953.830435316245
0.15000000000000002,1,25982.410615838726,2957.472112996606
0.2,1,26868.17705940431,2988.947514224442
0.25,1,27804.352662124766,3020.146709149244
0.3,1,29998.294451014026,3078.9414494687203
0.35000000000000003,1,32026.79087165829,3126.109475897799
0.4,1,34326.28287899109,3158.900407284222
0.05,3,30608.73055176723,3129.908854748179
0.1,3,33771.09851374248,3200.9041756185543
0.15000000000000002,3,36565.05927430675,3238.8804039909587
0.2,3,39130.03866489258,3254.243544492425
0.25,3,41529.01116595912,3252.548515359134
0.3,3,43808.031019281574,3237.148938950912
0.35000000000000003,3,45915.12828222327,3212.4817503534764
0.4,3,47888.30267055641,3180.0357634628685
0.05,9,34401.00877405412,3220.2078688446986
0.1,9,39722.54122580905,3264.5157464493536
0.15000000000000002,9,44081.849651062505,3243.2104000827953
0.2,9,47878.55306774177,3187.3783258411495
0.25,9,51280.80857606501,3111.0485665333513
0.3,9,54379.44747698759,3022.0055393845714
0.35000000000000003,9,56887.861736280334,2941.0290401566012
0.4,9,58967.166050982094,2866.7098393641327
0.05,15,37095.01937657512,3257.0013715919326
0.1,15,43694.21632964467,3241.1694949544894
0.15000000000000002,15,48971.04431872683,3147.6445318786205
0.2,15,53465.42238906408,3021.4000587769565
0.25,15,57396.03207064988,2881.5781773009353
0.3,15,60891.05364760202,2737.71111718866
0.35000000000000003,15,63605.132987030236,2621.5884462464533
0.4,15,65752.40352342711,2524.92249507691
