year,run,farmDesign,biomass,catch,bmNull,ctchNull,bmDiff,ctchDiff
2,1,large,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,1,1
2,1,small,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,1,1
2,3,large,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,1,1
2,3,small,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,1,1
2,9,large,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,1,1
2,9,small,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,1,1
2,15,large,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,1,1
2,15,small,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,1,1
3,1,large,79280.8460900927,8889.26718818675,79280.8460900927,8889.26718818675,1,1
3,1,small,79280.8460900927,8889.26718818675,79280.8460900927,8889.26718818675,1,1
3,3,large,79280.8460900927,8889.26718818675,79280.8460900927,8889.26718818675,1,1
3,3,small,79280.8460900927,8889.26718818675,79280.8460900927,8889.26718818675,1,1
3,9,large,79280.8460900927,8889.26718818675,79280.8460900927,8889.26718818675,1,1
3,9,small,79280.8460900927,8889.26718818675,79280.8460900927,8889.26718818675,1,1
3,15,large,79280.8460900927,8889.26718818675,79280.8460900927,8889.26718818675,1,1
3,15,small,79280.8460900927,8889.26718818675,79280.8460900927,8889.26718818675,1,1
4,1,large,74957.76776675228,8404.547357523352,74957.76776675228,8404.547357523352,1,1
4,1,small,74957.76776675228,8404.547357523352,74957.76776675228,8404.547357523352,1,1
4,3,large,74957.76776675228,8404.547357523352,74957.76776675228,8404.547357523352,1,1
4,3,small,74957.76776675228,8404.547357523352,74957.76776675228,8404.547357523352,1,1
4,9,large,74957.76776675228,8404.547357523352,74957.76776675228,8404.547357523352,1,1
4,9,small,74957.76776675228,8404.547357523352,74957.76776675228,8404.547357523352,1,1
4,15,large,74957.76776675228,8404.547357523352,74957.76776675228,8404.547357523352,1,1
4,15,small,74957.76776675228,8404.547357523352,74957.76776675228,8404.547357523352,1,1
5,1,large,66251.00412088103,7428.312211084704,66251.00412088103,7428.312211084704,1,1
5,1,small,66251.00412088103,7428.312211084704,66251.00412088103,7428.312211084704,1,1
5,3,large,66251.00412088103,7428.312211084704,66251.00412088103,7428.312211084704,1,1
5,3,small,66251.00412088103,7428.312211084704,66251.00412088103,7428.312211084704,1,1
5,9,large,66251.00412088103,7428.312211084704,66251.00412088103,7428.312211084704,1,1
5,9,small,66251.00412088103,7428.312211084704,66251.00412088103,7428.312211084704,1,1
5,15,large,66251.00412088103,7428.312211084704,66251.00412088103,7428.312211084704,1,1
5,15,small,66251.00412088103,7428.312211084704,66251.00412088103,7428.312211084704,1,1
6,1,large,59519.06288763529,6673.501594539416,59519.06288763529,6673.501594539416,1,1
6,1,small,59519.06288763529,6673.501594539416,59519.06288763529,6673.501594539416,1,1
6,3,large,59519.06288763529,6673.501594539416,59519.06288763529,6673.501594539416,1,1
6,3,small,59519.06288763529,6673.501594539416,59519.06288763529,6673.501594539416,1,1
6,9,large,59519.06288763529,6673.501594539416,59519.06288763529,6673.501594539416,1,1
6,9,small,59519.06288763529,6673.501594539416,59519.06288763529,6673.501594539416,1,1
6,15,large,59519.06288763529,6673.501594539416,59519.06288763529,6673.501594539416,1,1
6,15,small,59519.06288763529,6673.501594539416,59519.06288763529,6673.501594539416,1,1
7,1,large,53987.39611850196,6053.270273458875,53987.39611850196,6053.270273458875,1,1
7,1,small,53987.39611850196,6053.270273458875,53987.39611850196,6053.270273458875,1,1
7,3,large,53987.39611850196,6053.270273458875,53987.39611850196,6053.270273458875,1,1
7,3,small,53987.39611850196,6053.270273458875,53987.39611850196,6053.270273458875,1,1
7,9,large,53987.39611850196,6053.270273458875,53987.39611850196,6053.270273458875,1,1
7,9,small,53987.39611850196,6053.270273458875,53987.39611850196,6053.270273458875,1,1
7,15,large,53987.39611850196,6053.270273458875,53987.39611850196,6053.270273458875,1,1
7,15,small,53987.39611850196,6053.270273458875,53987.39611850196,6053.270273458875,1,1
8,1,large,49641.90541557556,5566.037482348155,49641.90541557556,5566.037482348155,1,1
8,1,small,49641.90541557556,5566.037482348155,49641.90541557556,5566.037482348155,1,1
8,3,large,49641.90541557556,5566.037482348155,49641.90541557556,5566.037482348155,1,1
8,3,small,49641.90541557556,5566.037482348155,49641.90541557556,5566.037482348155,1,1
8,9,large,49641.90541557556,5566.037482348155,49641.90541557556,5566.037482348155,1,1
8,9,small,49641.90541557556,5566.037482348155,49641.90541557556,5566.037482348155,1,1
8,15,large,49641.90541557556,5566.037482348155,49641.90541557556,5566.037482348155,1,1
8,15,small,49641.90541557556,5566.037482348155,49641.90541557556,5566.037482348155,1,1
9,1,large,46207.42328223174,5180.950404674264,46207.42328223174,5180.950404674264,1,1
9,1,small,46207.42328223174,5180.950404674264,46207.42328223174,5180.950404674264,1,1
9,3,large,46207.42328223174,5180.950404674264,46207.42328223174,5180.950404674264,1,1
9,3,small,46207.42328223174,5180.950404674264,46207.42328223174,5180.950404674264,1,1
9,9,large,46207.42328223174,5180.950404674264,46207.42328223174,5180.950404674264,1,1
9,9,small,46207.42328223174,5180.950404674264,46207.42328223174,5180.950404674264,1,1
9,15,large,46207.42328223174,5180.950404674264,46207.42328223174,5180.950404674264,1,1
9,15,small,46207.42328223174,5180.950404674264,46207.42328223174,5180.950404674264,1,1
10,1,large,43453.2022275942,4872.1367623200795,43453.2022275942,4872.1367623200795,1,1
