mpaSize,attr,biomass,catch
0.1,1,94460.04730469185,120.42731070823476
0.2,1,96806.75911161958,123.95729016415322
0.30000000000000004,1,100609.88501350408,118.2102689412634
0.4,1,102625.46777043956,119.89719207213416
0.5,1,104124.4497150303,122.45060478878246
0.6,1,105818.0044018018,120.88704918822472
0.7000000000000001,1,107234.29025215283,119.59371845882343
0.8,1,109866.4764991972,112.17195037245533
0.9,1,112713.50569335325,67.29992063980394
0.1,3,95670.51083961398,117.52235272232461
0.2,3,98366.36277918828,119.15853184570148
0.30000000000000004,3,102053.81670394719,113.41325811794582
0.4,3,103997.27563282345,115.21753105340248
0.5,3,105581.35451160892,112.43158562941122
0.6,3,107291.05451041511,106.90077674030135
0.7000000000000001,3,108603.04502371194,105.50603125553799
0.8,3,110755.33576218267,97.42701967673317
0.9,3,113024.0055111645,57.50039329776721
0.1,9,102298.58825306353,86.33942079174896
0.2,9,105077.24351368519,76.06969441810192
0.30000000000000004,9,106264.4840240478,82.7921743911377
0.4,9,107686.5123459488,80.55330847789446
0.5,9,109004.35854497139,78.72010620431561
0.6,9,110201.93256382337,76.91474605159463
0.7000000000000001,9,111238.60497094467,75.13845584149007
0.8,9,112830.77519917893,47.13305722025071
0.9,9,113503.30573040724,39.350131631093944
0.1,15,103633.18776197992,78.53955535858367
0.2,15,105885.5540647801,68.92988733286941
0.30000000000000004,15,107346.45904024245,63.18228850198997
0.4,15,108723.77755916145,58.29193365593061
0.5,15,109951.53388022061,57.33535367109669
0.6,15,111265.36353511884,49.35222226341002
0.7000000000000001,15,112312.60149032177,44.3226847859991
0.8,15,113136.54918651142,37.89543156746562
0.9,15,113717.61004617815,29.475827360300045
