mpaSize,attr,biomass,catch
0.05,1,93826.66469635685,116.55025195724568
0.1,1,94907.40501968203,118.35206920255078
0.15000000000000002,1,95863.7901669258,120.80148599942824
0.2,1,96981.68218928101,122.65795162378991
0.05,3,94576.41433256437,114.82350515140563
0.1,3,96270.85325952113,115.27219580318354
0.15000000000000002,3,97716.72679216052,116.63662555722722
0.2,3,99138.2869653246,118.06358314069817
0.05,9,98729.79101605971,99.6076144676654
0.1,9,102492.22917054777,88.9389542704702
0.15000000000000002,9,105177.86957853247,80.10094792424258
0.2,9,107107.2493187013,72.92774203694952
0.05,15,100349.19080319219,94.18215210437975
0.1,15,104619.76321437047,80.18057307076829
0.15000000000000002,15,107269.96387562157,69.84024091592741
0.2,15,108985.2267399376,62.09987633785849
