mpaSize,attr,biomass,catch
0.05,1,26057.6148790556,2963.8724757318546
0.1,1,25836.66708876253,2953.830435316245
0.15000000000000002,1,26053.192540732885,2957.472112996606
0.2,1,26988.20784514762,2988.947514224442
0.25,1,27970.11686978001,3020.146709149244
0.3,1,30267.96267264463,3078.9414494687203
0.35000000000000003,1,32397.57020991219,3126.109475897799
0.4,1,34812.1012475074,3158.900407284222
0.05,3,30816.596778041363,3129.908854748179
0.1,3,34167.76615086181,3200.9041756185543
0.15000000000000002,3,37136.41974941527,3238.8804039909587
0.2,3,39866.293936816626,3254.243544492425
0.25,3,42421.34563456284,3252.548515359134
0.3,3,44848.79348484405,3237.148938950912
0.35000000000000003,3,47089.442196931035,3212.4817503534764
0.4,3,49183.99421471892,3180.0357634628685
0.05,9,35051.87283259854,3220.2078688446986
0.1,9,40845.494127188635,3264.5157464493536
0.15000000000000002,9,45583.07686312196,3243.2104000827953
0.2,9,49694.05330372476,3187.3783258411495
0.25,9,53359.86249824341,3111.0485665333513
0.3,9,56679.67473309292,3022.0055393845714
0.35000000000000003,9,59321.707161569575,2941.0290401566012
0.4,9,61480.538147012914,2866.7098393641327
0.05,15,38275.1098312994,3257.0013715919326
0.1,15,45617.29948656341,3241.1694949544894
0.15000000000000002,15,51441.76928108571,3147.6445318786205
0.2,15,56350.48343565089,3021.4000587769565
0.25,15,60592.78364834906,2881.5781773009353
0.3,15,64319.73673032985,2737.71111718866
0.35000000000000003,15,67121.78648230855,2621.5884462464533
0.4,15,69279.4762479465,2524.92249507691
