year,run,farmDesign,biomass,catch,bmNull,ctchNull,bmDiff,ctchDiff
2,1,large,114522.24173627148,9737.221384030587,114522.24173627148,9737.221384030587,0,0
2,1,small,114522.24173627148,9737.221384030587,114522.24173627148,9737.221384030587,0,0
2,3,large,114522.24173627148,9737.221384030587,114522.24173627148,9737.221384030587,0,0
2,3,small,114522.24173627148,9737.221384030587,114522.24173627148,9737.221384030587,0,0
2,9,large,114522.24173627148,9737.221384030587,114522.24173627148,9737.221384030587,0,0
2,9,small,114522.24173627148,9737.221384030587,114522.24173627148,9737.221384030587,0,0
2,15,large,114522.24173627148,9737.221384030587,114522.24173627148,9737.221384030587,0,0
2,15,small,114522.24173627148,9737.221384030587,114522.24173627148,9737.221384030587,0,0
3,1,large,82022.742973191,7309.9671252004655,82022.742973191,7309.967125200467,0,-1.8189894035458565e-12
3,1,small,82022.742973191,7309.9671252004655,82022.742973191,7309.967125200467,0,-1.8189894035458565e-12
3,3,large,82022.742973191,7309.9671252004655,82022.742973191,7309.967125200467,0,-1.8189894035458565e-12
3,3,small,82022.742973191,7309.9671252004655,82022.742973191,7309.967125200467,0,-1.8189894035458565e-12
3,9,large,82022.742973191,7309.9671252004655,82022.742973191,7309.967125200467,0,-1.8189894035458565e-12
3,9,small,82022.742973191,7309.9671252004655,82022.742973191,7309.967125200467,0,-1.8189894035458565e-12
3,15,large,82022.742973191,7309.9671252004655,82022.742973191,7309.967125200467,0,-1.8189894035458565e-12
3,15,small,82022.742973191,7309.9671252004655,82022.742973191,7309.967125200467,0,-1.8189894035458565e-12
4,1,large,79360.83639196822,7462.540643830099,79360.83639196823,7462.540643830099,-1.4551915228366852e-11,0
4,1,small,79360.83639196822,7462.540643830099,79360.83639196823,7462.540643830099,-1.4551915228366852e-11,0
4,3,large,79360.83639196822,7462.540643830099,79360.83639196823,7462.540643830099,-1.4551915228366852e-11,0
4,3,small,79360.83639196822,7462.540643830099,79360.83639196823,7462.540643830099,-1.4551915228366852e-11,0
4,9,large,79360.83639196822,7462.540643830099,79360.83639196823,7462.540643830099,-1.4551915228366852e-11,0
4,9,small,79360.83639196822,7462.540643830099,79360.83639196823,7462.540643830099,-1.4551915228366852e-11,0
4,15,large,79360.83639196822,7462.540643830099,79360.83639196823,7462.540643830099,-1.4551915228366852e-11,0
4,15,small,79360.83639196822,7462.540643830099,79360.83639196823,7462.540643830099,-1.4551915228366852e-11,0
5,1,large,71478.59124585865,7005.97292697591,71479.30976111135,7006.043352236389,-0.7185152526944876,-0.07042526047916908
5,1,small,71478.59124585865,7005.97292697591,71479.30976111135,7006.043352236389,-0.7185152526944876,-0.07042526047916908
5,3,large,71478.59124585865,7005.97292697591,71479.30976111135,7006.043352236389,-0.7185152526944876,-0.07042526047916908
5,3,small,71478.59124585865,7005.97292697591,71479.30976111135,7006.043352236389,-0.7185152526944876,-0.07042526047916908
5,9,large,71478.59124585865,7005.97292697591,71479.30976111135,7006.043352236389,-0.7185152526944876,-0.07042526047916908
5,9,small,71478.59124585865,7005.97292697591,71479.30976111135,7006.043352236389,-0.7185152526944876,-0.07042526047916908
5,15,large,71478.59124585865,7005.97292697591,71479.30976111135,7006.043352236389,-0.7185152526944876,-0.07042526047916908
5,15,small,71478.59124585865,7005.97292697591,71479.30976111135,7006.043352236389,-0.7185152526944876,-0.07042526047916908
6,1,large,64797.203362140885,6584.952994561509,65097.52715641142,6615.474657883067,-300.3237942705382,-30.521663321558663
6,1,small,64797.203362140885,6584.952994561509,65097.52715641142,6615.474657883067,-300.3237942705382,-30.521663321558663
6,3,large,64797.203362140885,6584.952994561509,65097.52715641142,6615.474657883067,-300.3237942705382,-30.521663321558663
6,3,small,64797.203362140885,6584.952994561509,65097.52715641142,6615.474657883067,-300.3237942705382,-30.521663321558663
6,9,large,64797.203362140885,6584.952994561509,65097.52715641142,6615.474657883067,-300.3237942705382,-30.521663321558663
6,9,small,64797.203362140885,6584.952994561509,65097.52715641142,6615.474657883067,-300.3237942705382,-30.521663321558663
6,15,large,64797.203362140885,6584.952994561509,65097.52715641142,6615.474657883067,-300.3237942705382,-30.521663321558663
6,15,small,64797.203362140885,6584.952994561509,65097.52715641142,6615.474657883067,-300.3237942705382,-30.521663321558663
7,1,large,57851.02585074228,6061.235068892275,59429.63326652404,6227.210127447822,-1578.6074157817638,-165.97505855554664
7,1,small,57851.02585074228,6061.235068892275,59429.63326652404,6227.210127447822,-1578.6074157817638,-165.97505855554664
7,3,large,57851.02585074228,6061.235068892275,59429.63326652404,6227.210127447822,-1578.6074157817638,-165.97505855554664
7,3,small,57851.02585074228,6061.235068892275,59429.63326652404,6227.210127447822,-1578.6074157817638,-165.97505855554664
7,9,large,57851.02585074228,6061.235068892275,59429.63326652404,6227.210127447822,-1578.6074157817638,-165.97505855554664
7,9,small,57851.02585074228,6061.235068892275,59429.63326652404,6227.210127447822,-1578.6074157817638,-165.97505855554664
7,15,large,57851.02585074228,6061.235068892275,59429.63326652404,6227.210127447822,-1578.6074157817638,-165.97505855554664
7,15,small,57851.02585074228,6061.235068892275,59429.63326652404,6227.210127447822,-1578.6074157817638,-165.97505855554664
8,1,large,50837.9777511532,5464.750314253035,54651.35589369005,5878.378587831438,-3813.3781425368506,-413.6282735784034
8,1,small,50837.9777511532,5464.750314253035,54651.35589369005,5878.378587831438,-3813.3781425368506,-413.6282735784034
8,3,large,50837.9777511532,5464.750314253035,54651.35589369005,5878.378587831438,-3813.3781425368506,-413.6282735784034
8,3,small,50837.9777511532,5464.750314253035,54651.35589369005,5878.378587831438,-3813.3781425368506,-413.6282735784034
8,9,large,50837.9777511532,5464.750314253035,54651.35589369005,5878.378587831438,-3813.3781425368506,-413.6282735784034
8,9,small,50837.9777511532,5464.750314253035,54651.35589369005,5878.378587831438,-3813.3781425368506,-413.6282735784034
8,15,large,50837.9777511532,5464.750314253035,54651.35589369005,5878.378587831438,-3813.3781425368506,-413.6282735784034
8,15,small,50837.9777511532,5464.750314253035,54651.35589369005,5878.378587831438,-3813.3781425368506,-413.6282735784034
9,1,large,44311.84719940497,4864.682826178412,50624.352218902706,5569.342904711763,-6312.5050194977375,-704.6600785333512
9,1,small,44311.84719940497,4864.682826178412,50624.352218902706,5569.342904711763,-6312.5050194977375,-704.6600785333512
9,3,large,44311.84719940497,4864.682826178412,50624.352218902706,5569.342904711763,-6312.5050194977375,-704.6600785333512
9,3,small,44311.84719940497,4864.682826178412,50624.352218902706,5569.342904711763,-6312.5050194977375,-704.6600785333512
9,9,large,44311.84719940497,4864.682826178412,50624.352218902706,5569.342904711763,-6312.5050194977375,-704.6600785333512
9,9,small,44311.84719940497,4864.682826178412,50624.352218902706,5569.342904711763,-6312.5050194977375,-704.6600785333512
9,15,large,44311.84719940497,4864.682826178412,50624.352218902706,5569.342904711763,-6312.5050194977375,-704.6600785333512
9,15,small,44311.84719940497,4864.682826178412,50624.352218902706,5569.342904711763,-6312.5050194977375,-704.6600785333512
10,1,large,38677.01602690033,4318.718884616656,47215.31819121111,5297.10872212895,-8538.302164310779,-978.3898375122935
10,1,small,38677.01602690033,4318.718884616656,47215.31819121111,5297.10872212895,-8538.302164310779,-978.3898375122935
10,3,large,38677.01602690033,4318.718884616656,47215.31819121111,5297.10872212895,-8538.302164310779,-978.3898375122935
10,3,small,38677.01602690033,4318.718884616656,47215.31819121111,5297.10872212895,-8538.302164310779,-978.3898375122935
10,9,large,38677.01602690033,4318.718884616656,47215.31819121111,5297.10872212895,-8538.302164310779,-978.3898375122935
10,9,small,38677.01602690033,4318.718884616656,47215.31819121111,5297.10872212895,-8538.302164310779,-978.3898375122935
10,15,large,38677.01602690033,4318.718884616656,47215.31819121111,5297.10872212895,-8538.302164310779,-978.3898375122935
10,15,small,38677.01602690033,4318.718884616656,47215.31819121111,5297.10872212895,-8538.302164310779,-978.3898375122935
11,1,large,34019.424655067516,3850.119702865998,44305.499653085215,5056.895132513409,-10286.074998017699,-1206.7754296474113
11,1,small,34019.424655067516,3850.119702865998,44305.499653085215,5056.895132513409,-10286.074998017699,-1206.7754296474113
11,3,large,34019.424655067516,3850.119702865998,44305.499653085215,5056.895132513409,-10286.074998017699,-1206.7754296474113
11,3,small,34019.424655067516,3850.119702865998,44305.499653085215,5056.895132513409,-10286.074998017699,-1206.7754296474113
11,9,large,34019.424655067516,3850.119702865998,44305.499653085215,5056.895132513409,-10286.074998017699,-1206.7754296474113
11,9,small,34019.424655067516,3850.119702865998,44305.499653085215,5056.895132513409,-10286.074998017699,-1206.7754296474113
11,15,large,34019.424655067516,3850.119702865998,44305.499653085215,5056.895132513409,-10286.074998017699,-1206.7754296474113
11,15,small,34019.424655067516,3850.119702865998,44305.499653085215,5056.895132513409,-10286.074998017699,-1206.7754296474113
