mpaSize,attr,biomass,catch
0.1,1,18792.219741762,2579.2907395789193
0.2,1,23038.75542951014,2705.839858041144
0.30000000000000004,1,27086.172501994144,2746.540279982619
0.4,1,31553.555332966935,2748.6151435171405
0.5,1,36367.96202524138,2721.6190356956154
0.6,1,41462.53654115237,2675.624031949603
0.7000000000000001,1,46945.266182973406,2623.2245334316995
0.8,1,53777.408173125245,2540.4467945984293
0.9,1,66633.32052338545,2135.740068981854
0.1,3,20892.489406263587,2673.695977076894
0.2,3,24871.113255650613,2731.9798184257397
0.30000000000000004,3,29585.521495640038,2738.627010220343
0.4,3,34663.98036960923,2700.2697018992517
0.5,3,39992.11789904025,2630.1882031997857
0.6,3,45607.043530192364,2541.91052340802
0.7000000000000001,3,51764.70785688219,2442.309841374029
0.8,3,59549.262009287595,2286.542272549021
0.9,3,72532.69699586557,1778.9507753825974
0.1,9,22780.215988576667,2722.818880328519
0.2,9,28010.71061578098,2725.808102510857
0.30000000000000004,9,33763.925048298835,2658.1558064379615
0.4,9,39834.631051925375,2537.6554425113663
0.5,9,46079.12121862818,2385.7667748527892
0.6,9,52637.72133351218,2214.1139691522735
0.7000000000000001,9,59947.2935285109,2013.3396296818767
0.8,9,68962.06994320631,1718.9054935927088
0.9,9,81394.92294307481,1106.143173028643
0.1,15,23966.540810537455,2732.9961667566386
0.2,15,29931.939356727424,2689.6886547526383
0.30000000000000004,15,36249.021407520006,2569.637593098904
0.4,15,42819.01212482088,2396.723705056435
0.5,15,49533.947787456396,2195.2579601481716
0.6,15,56579.256184921476,1973.1526920139945
0.7000000000000001,15,64416.997728780996,1713.0328995781294
0.8,15,73792.68849124877,1355.642865185984
0.9,15,85495.74084327469,740.0062457281861
