mpaSize,attr,biomass,catch
0.1,1,17970.45191891745,2529.4898593462326
0.2,1,18643.283279051022,2578.0234494375695
0.30000000000000004,1,20846.107684974235,2732.405252955933
0.4,1,31063.614221197724,3210.694724215683
0.5,1,35252.73646917753,3285.7831625725757
0.6,1,40276.816153852604,3301.628669007514
0.7000000000000001,1,46362.77152639521,3222.1466913682925
0.8,1,54508.77045270011,2960.502413574646
0.9,1,67617.6531768866,2243.8006138048945
0.1,3,21132.015895312106,2752.9245087513823
0.2,3,26316.950131937872,3040.2864200156205
0.30000000000000004,3,31728.869899258483,3234.591434488975
0.4,3,36880.89831258879,3327.9497231315277
0.5,3,41926.68167023612,3330.524884241432
0.6,3,47601.210664498125,3238.3645275044664
0.7000000000000001,3,54021.807735027665,3031.3090127195487
0.8,3,61895.91679882383,2643.2899987028068
0.9,3,73526.72416849574,1859.2385670753204
0.1,9,23450.368668537038,2871.2612208023083
0.2,9,32485.924725643174,3211.2118679688383
0.30000000000000004,9,40667.33598279097,3303.8274975185786
0.4,9,46944.954272576295,3253.087782946819
0.5,9,52476.13627370573,3105.2373691832854
0.6,9,58945.464429414686,2820.3964202239285
0.7000000000000001,9,65638.15615883446,2430.6833953935316
0.8,9,72919.56266788568,1912.3673876178143
0.9,9,82143.25887588203,1147.5713822866512
0.1,15,25786.222151431302,2932.8707713876934
0.2,15,37551.022229340706,3169.5775475050077
0.30000000000000004,15,47102.60959620182,3110.481242958238
0.4,15,53791.47750155215,2956.177028036224
0.5,15,59372.73397883495,2732.181594114614
0.6,15,65846.29314627616,2356.3200473608663
0.7000000000000001,15,72125.73999787091,1919.0718934937825
0.8,15,78482.75980936465,1418.3210761880619
0.9,15,86125.62582318329,755.1899932773986
