mpaSz,aMove,mgmt,biomass,catch
0.05,0,oa,19779.981440154046,2490.438902642919
0.1,0,oa,22311.441530711632,2474.9612265580745
0.15000000000000002,0,oa,25021.357726434337,2439.2450136158595
0.2,0,oa,27948.212752995172,2384.138756103227
0.25,0,oa,31034.63426764855,2310.4239122127706
0.3,0,oa,34330.36424902186,2219.1724714182114
0.35000000000000003,0,oa,37762.440858034395,2112.4977727147552
0.4,0,oa,41372.32819187651,1991.6508973878056
0.05,3,oa,20354.896373067644,2529.917542474438
0.1,3,oa,23385.741551771684,2552.3192891121835
0.15000000000000002,3,oa,26496.368477297387,2560.308710477906
0.2,3,oa,29684.7654978282,2559.8489049710756
0.25,3,oa,32892.324645089495,2553.076928675733
0.3,3,oa,36135.452351269516,2546.674039357784
0.35000000000000003,3,oa,39434.45042253076,2540.9218180575176
0.4,3,oa,42867.345077573074,2533.978093763907
0.05,20,oa,19537.902024766525,2640.516792781647
0.1,20,oa,22076.835540414475,2807.2641900025083
0.15000000000000002,20,oa,25235.049919984096,2979.90859062518
0.2,20,oa,28632.517407894047,3127.91434601254
0.25,20,oa,32036.94701186495,3237.877126550783
0.3,20,oa,35158.1128628598,3301.5288736907064
0.35000000000000003,20,oa,38175.265998072304,3335.8888887023463
0.4,20,oa,40969.78530467447,3342.789108091919
0.05,60,oa,19676.546443352472,2671.6411026634523
0.1,60,oa,22266.908640250753,2846.946643059404
0.15000000000000002,60,oa,24789.010791558776,2991.0311060078943
0.2,60,oa,27327.92452912979,3109.1293991306193
0.25,60,oa,29757.978580987205,3200.9227292420337
0.3,60,oa,32219.989686003162,3271.0438625847414
0.35000000000000003,60,oa,34581.19248957246,3319.8538060193246
0.4,60,oa,36998.997970543445,3349.991911179968
0.05,0,ce,28351.33298170511,2926.7475323879466
0.1,0,ce,29958.427526491927,2841.3387849583446
0.15000000000000002,0,ce,31665.458922587593,2744.007156191408
0.2,0,ce,33512.122932209095,2633.4459022769483
0.25,0,ce,35477.83867698153,2509.241136023941
0.3,0,ce,37616.79304972782,2369.840618734995
0.35000000000000003,0,ce,39897.66012357498,2215.585756149561
0.4,0,ce,42374.76301627468,2045.203072198503
0.05,3,ce,29253.68701075749,2946.390185437565
0.1,3,ce,31689.50313413092,2883.8287080222376
0.15000000000000002,3,ce,34173.374237584256,2818.0352800099145
0.2,3,ce,36719.60890558592,2753.336427267592
0.25,3,ce,39296.17611073356,2692.1024467547654
0.3,3,ce,41957.69938448363,2638.5871933468884
0.35000000000000003,3,ce,44710.965415794046,2589.895547407866
0.4,3,ce,47572.30301198813,2543.2318432509023
0.05,20,ce,29273.4866446754,3087.463736060685
0.1,20,ce,32408.211882885575,3166.4497213449617
0.15000000000000002,20,ce,35955.99240991574,3217.0870914823026
0.2,20,ce,39283.8380646175,3235.3193585624713
0.25,20,ce,42246.704903989674,3230.578141283035
0.3,20,ce,44738.60652829971,3209.432425648537
0.35000000000000003,20,ce,47041.66727719394,3180.308916240078
0.4,20,ce,49128.71625168924,3143.751495655974
0.05,60,ce,29810.940855555848,3109.2131098615478
0.1,60,ce,32723.99782642945,3183.489583235718
0.15000000000000002,60,ce,35373.55441983854,3229.2766659119543
0.2,60,ce,37815.10758984005,3252.5864890457324
0.25,60,ce,40063.36767614945,3260.9195641056212
0.3,60,ce,42184.410667549506,3255.9189369606197
0.35000000000000003,60,ce,44142.74979342701,3242.6271173370797
0.4,60,ce,46026.38771122269,3220.6809499544747
