mpaSz,aMove,mgmt,biomass,catch
0.05,0,oa,23086.931346132198,2610.8537814929223
0.1,0,oa,29168.080278734466,2676.885140873413
0.15000000000000002,0,oa,35860.88952724438,2692.375836080922
0.2,0,oa,43221.06143519672,2664.846402925274
0.25,0,oa,51009.54376506477,2600.1077281634057
0.3,0,oa,59324.88554673874,2504.2897841092395
0.35000000000000003,0,oa,67923.20736973251,2383.851199458152
0.4,0,oa,76890.12644126573,2243.076604515886
0.05,3,oa,22512.109590364256,2697.1314970982185
0.1,3,oa,27689.715720753982,2875.998147887874
0.15000000000000002,3,oa,33148.279489010565,3042.955258315698
0.2,3,oa,39049.673129100775,3207.1779561391545
0.25,3,oa,45348.51739741808,3362.2877081877414
0.3,3,oa,51990.992530396805,3518.310374269963
0.35000000000000003,3,oa,59011.128807164845,3675.6745680833287
0.4,3,oa,66576.14339993153,3828.115098733344
0.05,20,oa,20527.67830703593,2798.505241446525
0.1,20,oa,24300.8344362042,3143.5659780586434
0.15000000000000002,20,oa,29127.376904937493,3524.300033391574
0.2,20,oa,34554.47278337904,3898.7709000568348
0.25,20,oa,40398.332711498864,4237.750516645123
0.3,20,oa,45887.512045944066,4503.480296472355
0.35000000000000003,20,oa,51208.71541591752,4725.190581967403
0.4,20,oa,56347.27808091764,4904.0591262816315
0.05,60,oa,20675.657305449316,2835.3171169342722
0.1,60,oa,24497.241186680127,3188.4279921561365
0.15000000000000002,60,oa,28360.174949759985,3510.4398403654627
0.2,60,oa,32381.88115527501,3808.1864401419234
0.25,60,oa,36387.63950608918,4076.1999869522733
0.3,60,oa,40577.30514248106,4322.051753673424
0.35000000000000003,60,oa,44767.03901202101,4540.734475456214
0.4,60,oa,49190.95032858501,4738.2137409054385
0.05,0,ce,32527.809897763753,3038.883434910708
0.1,0,ce,38311.59221312797,3037.0032227459124
0.15000000000000002,0,ce,44361.85125528593,2998.752113976061
0.2,0,ce,50776.47486628329,2927.160856445717
0.25,0,ce,57432.79773632379,2824.8788057580223
0.3,0,ce,64458.0225214624,2692.9459057710806
0.35000000000000003,0,ce,71709.7982855202,2534.320391832734
0.4,0,ce,79301.88451397487,2349.4602994264756
0.05,3,ce,33876.548468991015,3142.3719988593693
0.1,3,ce,41109.49941942716,3240.607302594613
0.15000000000000002,3,ce,48717.745964235255,3310.6146881748473
0.2,3,ce,56648.84837134179,3363.8378455993643
0.25,3,ce,64649.807431118556,3408.8479295322395
0.3,3,ce,72736.76423532721,3457.899599745536
0.35000000000000003,3,ce,80802.54417064234,3507.694329444498
0.4,3,ce,88777.22297837563,3552.2767812010557
0.05,20,ce,32307.460049850662,3312.974129005037
0.1,20,ce,39805.575694282714,3628.5905356662265
0.15000000000000002,20,ce,47947.545378395356,3890.6663404138963
0.2,20,ce,55755.5493424476,4086.5201544883575
0.25,20,ce,62803.05219219169,4228.303460043532
0.3,20,ce,69122.0249282854,4328.957189525581
0.35000000000000003,20,ce,75001.25439690905,4405.141215174046
0.4,20,ce,80478.27821783634,4460.299375862608
0.05,60,ce,32881.73529117922,3340.131550143571
0.1,60,ce,39088.32633783065,3622.03408520152
0.15000000000000002,60,ce,45060.90432853316,3850.1871768905135
0.2,60,ce,50837.00994490441,4035.1444891830424
0.25,60,ce,56393.372325681885,4187.434247718472
0.3,60,ce,61815.579601867365,4311.589469146877
0.35000000000000003,60,ce,67015.24637323833,4413.568046982322
0.4,60,ce,72125.87906689773,4495.412340794386
