mpaSz,aMove,mgmt,biomass,catch
0.05,0,oa,18406.965934586737,2414.3615452597396
0.1,0,oa,19523.045724588854,2338.3436789456428
0.15000000000000002,0,oa,20714.8818936784,2256.2763630853296
0.2,0,oa,22005.20664763184,2167.8005975940405
0.05,3,oa,19169.43202575218,2411.5899224836403
0.1,3,oa,21034.726651546312,2325.784210719081
0.15000000000000002,3,oa,22985.329672813925,2229.0474650982383
0.2,3,oa,25030.71921239702,2123.6135642819654
0.05,20,oa,18948.61630126047,2496.3523748898792
0.1,20,oa,20791.1406863484,2507.725510018863
0.15000000000000002,20,oa,23054.40409933869,2508.6609905828586
0.2,20,oa,25443.405505567192,2485.1419547079186
0.05,60,oa,19084.995746927896,2521.5094614347204
0.1,60,oa,20977.95623729461,2541.8150635153784
0.15000000000000002,60,oa,22753.669245171703,2539.425983595839
0.2,60,oa,24488.711850858122,2517.5465593118593
0.05,0,ce,91762.83648877383,111.28844567380868
0.1,0,ce,89925.20996150713,110.76814928889274
0.15000000000000002,0,ce,88086.68838917265,110.22256432562646
0.2,0,ce,86248.98783945222,109.65817085612157
0.05,3,ce,87965.29697271805,105.8734824310087
0.1,3,ce,82661.19523846834,96.94783216257643
0.15000000000000002,3,ce,78024.31386719634,86.69009698161834
0.2,3,ce,74237.52089850763,76.85379926843738
0.05,20,ce,89267.5890239255,109.63600918858644
0.1,20,ce,85882.15803299332,109.64414599608182
0.15000000000000002,20,ce,80866.38779117881,101.1436519395709
0.2,20,ce,76793.53924177932,91.76531282549428
0.05,60,ce,90005.30728415807,111.4817031218964
0.1,60,ce,86978.68261643236,113.5338814639491
0.15000000000000002,60,ce,84602.04323127626,117.48039407479902
0.2,60,ce,82475.42439819405,121.23737819495034
0.25,0,oa,23381.10314352672,2072.9077522821235
0.3,0,oa,24872.095077083624,1971.185248762278
0.35,0,oa,26455.75824678321,1863.1185427422936
0.4,0,oa,28158.878086331195,1748.4685375741574
0.25,3,oa,27132.485581551195,2011.2028277832242
0.3,3,oa,29289.890254945967,1895.0006714049123
0.35,3,oa,31457.542193745932,1777.4801113648634
0.4,3,oa,33633.77534269041,1661.2988664311135
0.25,20,oa,27781.193380514887,2436.579712461904
0.3,20,oa,29841.63454331243,2365.5856183512424
0.35,20,oa,31786.953560588914,2281.9900363563866
0.4,20,oa,33489.764693709,2190.616403813627
0.25,60,oa,26075.975320236335,2480.953915827085
0.3,60,oa,27636.746731943836,2430.550850839487
0.35,60,oa,29062.082078795007,2371.4134008018773
0.4,60,oa,30481.82946643737,2302.2885649864284
0.25,0,ce,84409.94699261768,109.06307951178364
0.3,0,ce,82572.20685594594,108.4469759454018
0.35,0,ce,80732.70328722286,107.78947632527586
0.4,0,ce,78893.91268403018,107.09753817521778
0.25,3,ce,71229.03165218141,67.70031667826278
0.3,3,ce,68986.12185035474,61.144603708784686
0.35,3,ce,67104.14520851523,54.25401406924389
0.4,3,ce,65592.7851507676,48.57507963580972
0.25,20,ce,72752.99676926491,75.8175156575885
0.3,20,ce,70584.83873746957,69.00374637186616
0.35,20,ce,68768.06330484134,67.02404039327027
0.4,20,ce,71418.96807560761,84.73360845408182
0.25,60,ce,80764.48488604065,119.98201312956044
0.3,60,ce,79391.23439967385,115.44983521702092
0.35,60,ce,78249.21490284723,111.7476008314198
0.4,60,ce,77212.59362481417,108.03167778056452
