mpaSz,aMove,mgmt,biomass,catch
0.1,0,oa,27263.27424531651,2676.885140873413
0.2,0,oa,38489.406501933976,2664.846402925274
0.30000000000000004,0,oa,50906.17761333883,2504.2897841092395
0.4,0,oa,64153.33666323295,2243.076604515886
0.5,0,oa,78104.08240249408,1916.2162835279096
0.6,0,oa,92647.35820974411,1552.6926105018701
0.7000000000000001,0,oa,107728.9380549915,1176.480279765338
0.8,0,oa,123321.06032657469,805.0806550291006
0.9,0,oa,139109.70561923005,428.2119445587547
0.1,3,oa,26009.645912503667,2875.9981478878744
0.2,3,oa,35184.45861809899,3207.1779561391545
0.30000000000000004,3,oa,45292.82625034799,3518.310374269963
0.4,3,oa,56408.44479558123,3828.115098733344
0.5,3,oa,69497.57897483268,4011.972222625764
0.6,3,oa,84571.92957024438,3850.3641056993724
0.7000000000000001,3,oa,100555.2992043697,3312.3507943685604
0.8,3,oa,116844.37638248797,2419.1200047816296
0.9,3,oa,134473.05761117203,1140.4972593376406
0.1,20,oa,23409.16568161885,3143.565978058644
0.2,20,oa,31925.165470400036,3898.7709000568343
0.30000000000000004,20,oa,41033.16193311597,4503.480296472355
0.4,20,oa,49358.19334202669,4904.0591262816315
0.5,20,oa,57648.416919407704,5148.454326785734
0.6,20,oa,67766.02977956545,5233.457101008816
0.7000000000000001,20,oa,79771.8939190892,5087.57083155343
0.8,20,oa,94887.47120412906,4566.609469855632
0.9,20,oa,117070.68294675951,3241.6550539087602
0.1,60,oa,23613.930435311406,3188.4279921561365
0.2,60,oa,30302.257530586176,3808.1864401419234
0.30000000000000004,60,oa,37096.10763821398,4322.051753673424
0.4,60,oa,44113.588552389374,4738.2137409054385
0.5,60,oa,51762.28003825754,5057.760584442525
0.6,60,oa,61014.917632652265,5259.56049809375
0.7000000000000001,60,oa,72531.55900543797,5270.790209561196
0.8,60,oa,87885.7406084521,4923.772939117445
0.9,60,oa,111588.45396079964,3711.7152452319556
0.1,0,ce,99605.20382905092,113.23530112159636
0.2,0,ce,105597.84239145285,114.29936092062111
0.30000000000000004,0,ce,111582.93908938102,115.20592277525854
0.4,0,ce,117559.47285692935,115.95073907659285
0.5,0,ce,123530.68400198025,116.48952952641623
0.6,0,ce,129497.3881375754,116.73976518665394
0.7000000000000001,0,ce,135460.66873114966,116.5057061327973
0.8,0,ce,141425.08057097974,115.18152451318143
0.9,0,ce,147407.8093067914,109.89197800064613
0.1,3,ce,100012.27523245318,101.10201343723513
0.2,3,ce,106555.65932230795,85.1152223477488
0.30000000000000004,3,ce,113829.9535439924,73.522361580143
0.4,3,ce,121213.60568695853,65.99026904788899
0.5,3,ce,128030.47242933801,61.740733470093716
0.6,3,ce,134093.204298399,57.45163603354742
0.7000000000000001,3,ce,139642.01754503162,52.77222961980001
0.8,3,ce,144722.01604480785,48.312543811326364
0.9,3,ce,149359.81412715113,43.948724979419474
0.1,20,ce,101865.90723539561,106.9910966440416
0.2,20,ce,109474.497671761,102.15152758253231
0.30000000000000004,20,ce,116398.74234189617,97.88741870900961
0.4,20,ce,122768.76544003327,94.49465992574895
0.5,20,ce,128671.09175651956,91.41555413676438
0.6,20,ce,134237.10271640297,87.60531195066991
0.7000000000000001,20,ce,139504.5901300341,83.83650598610342
0.8,20,ce,144487.19701725635,80.50880666974945
0.9,20,ce,149227.95322765474,77.34803220525593
0.1,60,ce,101789.64012686134,109.62904872544689
0.2,60,ce,109179.16905579621,107.0241598442078
0.30000000000000004,60,ce,115944.24456760836,104.41123335130749
0.4,60,ce,122224.10764263899,101.99875675758582
0.5,60,ce,128122.97654750613,99.53958337256738
0.6,60,ce,133734.2415801078,96.52005096590325
0.7000000000000001,60,ce,139073.59837473003,93.39881056971954
0.8,60,ce,144160.133938003,90.36134677860109
0.9,60,ce,149018.83957606144,87.36246893177493
