mpaSz,damage,mgmt,biomass,catch,ctchDiff
0.05,1,oa,19537.902024766525,2640.516792781647,1.0624430779946394
0.1,1,oa,22076.835540414475,2807.2641900025083,1.1295358601482035
0.15000000000000002,1,oa,25235.049919984096,2979.90859062518,1.1990013711790433
0.2,1,oa,28632.517407894047,3127.91434601254,1.2585532326724203
0.25,1,oa,32036.94701186495,3237.877126550783,1.3027980544964186
0.3,1,oa,35158.1128628598,3301.5288736907064,1.3284090857672466
0.35000000000000003,1,oa,38175.265998072304,3335.8888887023463,1.34223424310338
0.4,1,oa,40969.78530467447,3342.789108091919,1.345010627766843
0.05,1.05,oa,19388.418793128105,2603.1973496790774,1.0474271598579588
0.1,1.05,oa,21751.020535950593,2729.052186001152,1.0980663377825486
0.15000000000000002,1.05,oa,24683.9818847596,2855.441647321132,1.1489206283812556
0.2,1.05,oa,27826.054268511874,2956.1474574548242,1.1894407989716766
0.25,1.05,oa,30960.906527266805,3021.3624271738613,1.2156808112863229
0.3,1.05,oa,33810.654410470626,3045.7563692752155,1.2254960016314234
0.35000000000000003,1.05,oa,36553.443215591426,3044.6282248421307,1.2250420794116572
0.4,1.05,oa,39061.11868827807,3020.6375635133827,1.2153891538423442
0.05,1.1,oa,19240.374589561685,2566.7345792179003,1.0327559340634904
0.1,1.1,oa,21428.12673412389,2653.0885496073965,1.0675014726446046
0.15000000000000002,1.1,oa,24136.787774268083,2735.4758096587675,1.100650958531537
0.2,1.1,oa,27025.767844006466,2791.8986577330224,1.1233533569942582
0.25,1.1,oa,29892.979202117484,2815.855300943751,1.1329925949725226
0.3,1.1,oa,32475.574226861754,2804.8475939033297,1.1285635142025539
0.35000000000000003,1.1,oa,34948.33354304484,2772.367846207049,1.115494904599593
0.4,1.1,oa,37178.66077453154,2721.913046848947,1.0951938209343937
0.05,1.15,oa,19093.77218146253,2531.121761899858,1.01842669694185
0.1,1.15,oa,21108.16317896681,2579.3276754093126,1.03782291485894
0.15000000000000002,1.15,oa,23593.553603340544,2619.913748203264,1.05415319998373
0.2,1.15,oa,26231.56423592225,2634.9623263439676,1.060208172905303
0.25,1.15,oa,28833.066609940244,2621.0319965715853,1.0546031404051086
0.3,1.15,oa,31152.5992466927,2578.2893582853408,1.0374051357165603
0.35000000000000003,1.15,oa,33359.53394513535,2518.3881322371417,1.0133031708465479
0.4,1.15,oa,35321.66463855667,2445.5753877176444,0.9840061042207993
0.05,1.2,oa,18948.61630126047,2496.3523748898792,1.004436823953406
0.1,1.2,oa,20791.1406863484,2507.725510018863,1.009012939025243
0.15000000000000002,1.2,oa,23054.40409933869,2508.6609905828586,1.0093893406646997
0.2,1.2,oa,25443.405505567192,2485.1419547079186,0.9999261791598206
0.25,1.2,oa,27781.193380514887,2436.579712461904,0.9803865881724727
0.3,1.2,oa,29841.63454331243,2365.5856183512424,0.9518212769907499
0.35000000000000003,1.2,oa,31786.953560588914,2281.9900363563866,0.9181856085170019
0.4,1.2,oa,33489.764693709,2190.616403813627,0.8814203496587113
0.05,1,ce,29273.4866446754,3087.463736060685,1.0324319134040583
0.1,1,ce,32408.211882885575,3166.4497213449617,1.0588444185832115
0.15000000000000002,1,ce,35955.99240991574,3217.0870914823026,1.075777293398884
0.2,1,ce,39283.8380646175,3235.3193585624713,1.0818740692629756
0.25,1,ce,42246.704903989674,3230.578141283035,1.080288630713366
0.3,1,ce,44738.60652829971,3209.432425648537,1.07321761271311
0.35000000000000003,1,ce,47041.66727719394,3180.308916240078,1.0634788617142137
0.4,1,ce,49128.71625168924,3143.751495655974,1.0512542492460784
0.05,1.05,ce,28787.910758596012,3035.7739454516213,1.0151471146228876
0.1,1.05,ce,31344.794350600296,3064.8362881883086,1.0248654118029301
0.15000000000000002,1.05,ce,34220.20620323187,3072.021774598551,1.0272682013147938
0.2,1.05,ce,37006.169685134635,3054.324905776895,1.0213504598607306
0.25,1.05,ce,39503.105066631106,3020.840027489597,1.0101532896538454
0.3,1.05,ce,41615.42749609214,2975.490764771943,0.9949887306236593
0.35000000000000003,1.05,ce,43627.89651520318,2923.2423525212234,0.9775171316531852
0.4,1.05,ce,45411.413396870455,2867.5915725526083,0.958907798505605
0.05,1.1,ce,28313.715368126897,2985.37278768041,0.9982932280014031
0.1,1.1,ce,30358.671566330806,2966.7795122063526,0.9920757327965453
0.15000000000000002,1.1,ce,32669.234707882035,2932.874117226112,0.9807379439813045
0.2,1.1,ce,34936.76834169109,2881.743421996681,0.9636401038049677
0.25,1.1,ce,37050.567201280595,2819.493820438597,0.9428241588289619
0.3,1.1,ce,38824.74866622459,2750.965195860698,0.919908541013097
0.35000000000000003,1.1,ce,40496.18200386479,2680.602156849843,0.896379504493436
0.4,1.1,ce,41943.966758153,2611.171963534635,0.8731624067522674
0.05,1.15,ce,27850.615012781906,2936.234211949813,0.9818615422876723
0.1,1.15,ce,29406.43375882115,2872.2185941592966,0.9604550506125562
0.15000000000000002,1.15,ce,31236.279467979704,2798.718324691083,0.9358769404451466
0.2,1.15,ce,33051.74188168545,2715.5228245145945,0.9080567952461581
0.25,1.15,ce,34767.38396958671,2627.9383467631415,0.878768998633913
0.3,1.15,ce,36190.734996664905,2540.195138731786,0.8494281234365881
0.35000000000000003,1.15,ce,37541.2550745091,2454.565116256913,0.8207938865657237
0.4,1.15,ce,38688.50009849387,2373.6193113138656,0.7937260278235152
0.05,1.2,ce,27398.35150635829,2888.3348163593987,0.9658442320071614
0.1,1.2,ce,28486.726487163345,2781.0219295971333,0.9299593574031796
